RED- BR,Znanstveno ime,Hrvatsko ime,Englesko ime,Nazočnost,Redovitost,Gnjezdarica,Preletnica,Zimovalica,Status ugroženosti gnijezdeće populacije,Kriterij ugroženosti (GN),Status ugroženosti na globalnoj razini,Bern,Bonn ,EU dir
1,Gavia stellata,crvenogrli plijenor,Red-throated Loon,A,R, -, -,W, -, -,LC,-,-,-
2,Gavia arctica,crnogrli plijenor,Black-throated Loon,A,R, -, -,W, -, -,LC,-,-,-
3,Gavia immer,veliki plijenor,Great Northern Loon,A,Rare, -, -, -, -, -,LC,II,ll,I
4,Gavia adamsii,žutokljuni plijenor,Yellow-billed Loon,A,Rare, -, -, -, -, -,NT,II,ll,
5,Tachybaptus ruficollis,mali gnjurac,Little Grebe,A,R,B,M,W,LC, -,LC,-,-,-
6,Podiceps cristatus,ćubasti gnjurac,Great Crested Grebe,A,R,B,M,W,LC, -,LC,-,-,-
7,Podiceps grisegena,riđogrli gnjurac,Red-necked Grebe,A,R, -,M,W, -, -,LC,-,-,-
8,Podiceps auritus,ušati gnjurac,Horned Grebe,A,Ir, -, -,W*, -, -,LC,-,-,-
9,Podiceps nigricollis,crnogrli gnjurac,Black-necked Grebe,A,R,B,M,W,EN, -,LC,II,,
10,Calonectris diomedea,veliki zovoj,Cory's Shearwater,A,R,B, -, -,NT, -,LC,II,,I
11,Puffinus yelkouan,gregula,Yelkouan Shearwater,A,R,B, -, -,VU, -,VU,II,,
12,Hydrobates pelagicus,burnica,European Storm-petrel,A,Rare, -, -, -, -, -,LC,II,,I
13,Pelecanus onocrotalus,ružičasti nesit,Great White Pelican,A,Rare, -, -, -, -, -,LC,II,"l, ll",I
14,Pelecanus crispus,kudravi nesit,Dalmatian Pelican,A,Rare,BRe, -, -,RE, -,VU,II,"l, ll",I
15,Morus bassanus,bluna,Northern Gannet,A,Rare, -, -, -, -, -,LC,lll,,
16,Phalacrocorax carbo,veliki vranac,Great Cormorant,A,R,B,M,W,NT, -,LC,lll,,
17,Phalacrocorax aristotelis,morski vranac,European Shag,A,R,B, -, -,LC, -,LC,II,,I
18,Phalacrocorax pygmeus,mali vranac,Pygmy Cormorant,A,R,B, -,W,CR, -,LC,II,ll,I
19,Ardea cinerea,siva čaplja,Grey Heron,A,R,B,M,W,LC, -,LC,lll,,
20,Ardea purpurea,čaplja danguba,Purple Heron,A,R,B,M, -,EN, -,LC,II,ll,I
21,Casmerodius albus,velika bijela čaplja,Great Egret,A,R,B,M,W,EN, -,LC,II,,I
22,Egretta garzetta,mala bijela čaplja,Little Egret,A,R,B,M,W*,VU, -,LC,II,,I
23,Bubulcus ibis,čaplja govedarica,Cattle Egret,A,Rare, -, -, -, -, -,LC,II,,
24,Ardeola ralloides,žuta čaplja,Squacco Heron,A,R,B,M, -,EN, -,LC,II,,I
25,Nycticorax nycticorax,gak,Black-crowned Night-heron,A,R,B,M, -,NT, -,LC,II,,I
26,Ixobrychus minutus,čapljica voljak,Little Bittern,A,R,B,M, -,LC, -,LC,II,ll,I
27,Botaurus stellaris,bukavac,Great Bittern,A,R,B,M,W,EN, -,LC,II,,I
28,Mycteria ibis,žutokljuna roda,Yellow-billed Stork,D,Rare, -, -, -, -, -,LC,II,,
29,Ciconia nigra,crna roda,Black Stork,A,R,B,M, -,VU, -,LC,II,ll,I
30,Ciconia ciconia,bijela roda,White Stork,A,R,B,M, -,LC, -,LC,II,ll,I
31,Geronticus eremita,ćelavi ibis,Northern Bald Ibis,A,Rare,BRe, -, -,RE, -,CR,,,
32,Plegadis falcinellus,blistavi ibis,Glossy Ibis,A,R,B*,M, -,NA, -,LC,II,ll,I
33,Platalea leucorodia,žličarka,Eurasian Spoonbill,A,R,B,M,W*,EN, -,LC,II,ll,I
34,Platalea alba,afrička žličarka,African Spoonbill,D,Rare, -, -, -, -, -,LC,,II,
35,Phoenicopterus roseus,plamenac,Greater Flamingo,A,Ac, -, -, -, -, -,LC,II,ll,I
36,Cygnus olor,crvenokljuni labud,Mute Swan,A,R,B, -,W,LC*, -,LC,lll,ll,II-B 
37,Cygnus atratus,crni labud,Black Swan,D,Rare, -, -, -, -, -,LC,,,
38,Cygnus cygnus,žutokljuni labud,Whooper Swan,A,Ir, -, -,W*, -, -,LC,II,ll,I
39,Cygnus columbianus,mali labud,Tundra Swan,A,Rare, -, -, -, -, -,LC,II,ll,I
40,Anser fabalis,guska glogovnjača,Bean Goose,A,R, -, -,W, -, -,LC,II,ll,I
41,Anser brachyrhynchus,kratkokljuna guska,Pink-footed Goose,A,Rare, -, -, -, -, -,LC,lll,ll,II-B 
42,Anser albifrons,lisasta guska,Greater White-fronted Goose,A,R, -,M,W, -, -,LC,lll,ll,II-B 
43,Anser erythropus,mala guska,Lesser White-fronted Goose,A,Rare, -, -, -, -, -,VU,II,"l, ll",I
44,Anser anser,siva guska,Greylag Goose,A,R,B,M,W,VU, -,LC,lll,ll,II-A/III-B
45,Anser indicus,indijska guska,Bar-headed Goose,D,Rare, -, -, -, -, -,LC,,II,
46,Branta bernicla,grivasta guska,Brent Goose,A,Rare, -, -, -, -, -,LC,lll,ll,II-B 
47,Branta ruficollis,crvenovrata guska,Red-breasted Goose,A,Rare, -, -, -, -, -,EN,II,"l, ll",I
48,Alopochen aegyptiaca,egipatska guska,Egyptian Goose,D,Rare, -, -, -, -, -,LC,,II,
49,Tadorna ferruginea,zlatokrila utva,Ruddy Shelduck,A,Rare, -, -, -, -, -,LC,II,ll,I
50,Tadorna tadorna,utva,Common Shelduck,A,Ir, -,M*,W*, -, -,LC,II,ll,
51,Cairina moschata,mošusna patka,Muscovy Duck,D,Ir, -, -, -, -, -,LC,,,
52,Aix sponsa,američka mandarinka,Wood Duck,D,Rare, -, -, -, -, -,LC,,,
53,Aix galericulata,mandarinka,Mandarin Duck,D,Rare, -, -, -, -, -,LC,,,
54,Anas penelope,zviždara,Eurasian Wigeon,A,R, -,M,W, -, -,LC,,,
55,Anas strepera,patka kreketaljka,Gadwall,A,R,B,M,W,EN, -,LC,lll,ll,II-A
56,Anas crecca,kržulja,Common Teal,A,R, -,M,W, -, -,LC,lll,ll,II-A/III-B
57,Anas platyrhynchos,divlja patka,Mallard,A,R,B,M,W,LC, -,LC,lll,ll,II-A/III-A
